Part Name,Quantity,Vendor,Approx Cost (INR)
Raspberry Pi 4 Model B with 4GB RAM,1,Robu.in,6369.00
Sensirion SEN55 Particle & Gas Sensor,1,Tanotis,3,845.92
Waveshare 4.2-inch E-Paper Module,1,Robu.in,2825.00
Official Raspberry Pi Micro SD Card (64GB),1,Robu.in,899.00
Raspberry Pi Power Adapter (5.1V 3A),1,Robu.in,349.30
SmartElex Logic Level Converter (Bi-Directional),1,Robu.in,39.00
TTP223B Touch Sensor,1,Robu.in,15.00
2.54mm 2x20 Pin Female Header,1,Robu.in,10.00
Custom PCB Manufacturing (Seeed Studio),5,Seeed Studio,$4.90
PCB Shipping (DHL),1,Seeed Studio,$28.48

Robu.in,₹ 10,506
tanotis.com,₹3,846
SeedStudio.com,$33.38
